Commodity,Total_Return,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Active_Signals
PA=F,5.5158691611889665,0.1280459594240464,0.1558135004296744,0.8217898902915621,-0.2568938627464216,555
NG=F,1.0216611338822426,0.04629145965698567,0.23183702812864218,0.19967241657057203,-0.36325828507034325,531
SI=F,0.15345336916848495,0.0092196944477978,0.1407684682922001,0.06549545192649267,-0.38727056440915425,726
SB=F,0.13295854066991963,0.00805722541555709,0.15123574757755087,0.05327593207700775,-0.36651014410673954,707
ZC=F,0.04138032279369552,0.0026099972673427896,0.1159294915630172,0.022513660951614212,-0.4322907896824118,634
HO=F,0.03569450947644204,0.002257186675900913,0.1751751794098259,0.012885311055513056,-0.6219920700998185,710
CL=F,-0.007095768293177818,-0.0004576778539804316,0.2125159275503175,-0.0021536167159615224,-0.6030323891713544,682
GC=F,-0.024612388363375093,-0.001600739086245917,0.06871413548801941,-0.023295630147671907,-0.2372516080366192,771
CT=F,-0.04660728839883588,-0.003063550778628077,0.12222118820982684,-0.025065627519253335,-0.3164604010458105,642
ZS=F,-0.06524289188419985,-0.004327872278286127,0.09433968933180581,-0.04587541371971661,-0.38173008240369194,611
BZ=F,-0.1226581685989856,-0.008377053162009318,0.17703431635887165,-0.04731880990252725,-0.6376367369574735,735
RB=F,-0.3269921839516339,-0.025135737733298913,0.20352220053658768,-0.12350366528579372,-0.705855467531197,692
CC=F,-0.303866327343036,-0.023016151327282963,0.13894401826030428,-0.16565053764432966,-0.6631011186324031,675
ZW=F,-0.36685320401243804,-0.02895452360700157,0.14859314991038564,-0.19485772812854174,-0.6035840505622972,529
HG=F,-0.3279074243215614,-0.025221018315866428,0.09556072097764091,-0.2639266223385609,-0.4541753592667351,641
