Date,strategy_returns,cumulative_returns
2000-08-23,0.0,1.0
2000-08-24,0.0,1.0
2000-08-25,0.0,1.0
2000-08-28,0.0,1.0
2000-08-29,0.0,1.0
2000-08-30,0.0,1.0
2000-08-31,0.0,1.0
2000-09-01,0.0,1.0
2000-09-05,0.0,1.0
2000-09-06,0.0,1.0
2000-09-07,0.0,1.0
2000-09-08,0.0,1.0
2000-09-11,0.0,1.0
2000-09-12,0.0,1.0
2000-09-13,0.0,1.0
2000-09-14,0.0,1.0
2000-09-15,0.0,1.0
2000-09-18,0.0,1.0
2000-09-19,0.0,1.0
2000-09-20,0.0,1.0
2000-09-21,0.0,1.0
2000-09-22,0.0,1.0
2000-09-25,0.0,1.0
2000-09-26,0.0,1.0
2000-09-27,0.0,1.0
2000-09-28,0.0,1.0
2000-09-29,0.0,1.0
2000-10-02,0.0,1.0
2000-10-03,0.0,1.0
2000-10-04,0.0,1.0
2000-10-05,0.0,1.0
2000-10-06,0.0,1.0
2000-10-09,0.0,1.0
2000-10-10,0.0,1.0
2000-10-11,0.0,1.0
2000-10-12,0.0,1.0
2000-10-13,0.0,1.0
2000-10-16,0.0,1.0
2000-10-17,0.0,1.0
2000-10-18,0.0,1.0
2000-10-19,0.0,1.0
2000-10-20,0.0,1.0
2000-10-23,0.0,1.0
2000-10-24,0.0,1.0
2000-10-25,0.0,1.0
2000-10-26,0.0,1.0
2000-10-27,0.0,1.0
2000-10-30,0.0,1.0
2000-10-31,0.0,1.0
2000-11-01,0.0,1.0
2000-11-02,0.0,1.0
2000-11-03,0.0,1.0
2000-11-06,0.0,1.0
2000-11-07,0.0,1.0
2000-11-08,0.0,1.0
2000-11-09,0.0,1.0
2000-11-10,0.0,1.0
2000-11-13,0.0,1.0
2000-11-14,0.0,1.0
2000-11-15,0.0,1.0
2000-11-16,0.0,1.0
2000-11-17,0.0,1.0
2000-11-20,0.0,1.0
2000-11-21,0.0,1.0
2000-11-22,0.0,1.0
2000-11-27,0.0,1.0
2000-11-28,0.0,1.0
2000-11-29,0.0,1.0
2000-11-30,0.0,1.0
2000-12-01,0.0,1.0
2000-12-04,0.0,1.0
2000-12-05,0.0,1.0
2000-12-06,0.0,1.0
2000-12-07,0.0,1.0
2000-12-08,0.0,1.0
2000-12-11,0.0,1.0
2000-12-12,0.0,1.0
2000-12-13,0.0,1.0
2000-12-14,0.0,1.0
2000-12-15,0.0,1.0
2000-12-18,0.0,1.0
2000-12-19,0.0,1.0
2000-12-20,0.0,1.0
2000-12-21,0.0,1.0
2000-12-22,0.0,1.0
2000-12-26,0.0,1.0
2000-12-27,0.0,1.0
2000-12-28,0.0,1.0
2000-12-29,0.0,1.0
2001-01-02,0.0,1.0
2001-01-03,0.0,1.0
2001-01-04,0.0,1.0
2001-01-05,0.0,1.0
2001-01-08,0.0,1.0
2001-01-09,0.0,1.0
2001-01-10,0.0,1.0
2001-01-11,0.0,1.0
2001-01-12,0.0,1.0
2001-01-16,0.0,1.0
2001-01-17,0.0,1.0
2001-01-18,0.0,1.0
2001-01-19,0.0,1.0
2001-01-22,0.0,1.0
2001-01-23,0.0,1.0
2001-01-24,0.0,1.0
2001-01-25,0.0,1.0
2001-01-26,0.0,1.0
2001-01-29,0.0,1.0
2001-01-30,0.0,1.0
2001-01-31,0.0,1.0
2001-02-01,0.0,1.0
2001-02-02,0.0,1.0
2001-02-05,0.0,1.0
2001-02-06,0.0,1.0
2001-02-07,0.0,1.0
2001-02-08,0.0,1.0
2001-02-09,0.0,1.0
2001-02-12,0.0,1.0
2001-02-13,0.0,1.0
2001-02-14,0.0,1.0
2001-02-15,0.0,1.0
2001-02-16,0.0,1.0
2001-02-20,0.0,1.0
2001-02-21,0.0,1.0
2001-02-22,0.0,1.0
2001-02-23,0.0,1.0
2001-02-26,0.0,1.0
2001-02-27,0.0,1.0
2001-02-28,0.0,1.0
2001-03-01,0.0,1.0
2001-03-02,0.0,1.0
2001-03-05,0.0,1.0
2001-03-06,0.0,1.0
2001-03-07,0.0,1.0
2001-03-08,0.0,1.0
2001-03-09,0.0,1.0
2001-03-12,0.0,1.0
2001-03-13,0.0,1.0
2001-03-14,0.0,1.0
2001-03-15,0.0,1.0
2001-03-16,0.0,1.0
2001-03-19,0.0,1.0
2001-03-20,0.0,1.0
2001-03-21,0.0,1.0
2001-03-22,0.0,1.0
2001-03-23,0.0,1.0
2001-03-26,0.0,1.0
2001-03-27,0.0,1.0
2001-03-28,0.0,1.0
2001-03-29,0.0,1.0
2001-03-30,0.0,1.0
2001-04-02,0.0,1.0
2001-04-03,0.0,1.0
2001-04-04,0.0,1.0
2001-04-05,0.0,1.0
2001-04-06,0.0,1.0
2001-04-09,0.0,1.0
2001-04-10,0.0,1.0
2001-04-11,0.0,1.0
2001-04-12,0.0,1.0
2001-04-16,0.0,1.0
2001-04-17,0.0,1.0
2001-04-18,0.0,1.0
2001-04-19,0.0,1.0
2001-04-20,0.0,1.0
2001-04-23,0.0,1.0
2001-04-24,0.0,1.0
2001-04-25,0.0,1.0
2001-04-26,0.0,1.0
2001-04-27,0.0,1.0
2001-04-30,0.0,1.0
2001-05-01,0.0,1.0
2001-05-02,0.0,1.0
2001-05-03,0.0,1.0
2001-05-04,0.0,1.0
2001-05-07,0.0,1.0
2001-05-08,0.0,1.0
2001-05-09,0.0,1.0
2001-05-10,0.0,1.0
2001-05-11,0.0,1.0
2001-05-14,0.0,1.0
2001-05-15,0.0,1.0
2001-05-16,0.0,1.0
2001-05-17,0.0,1.0
2001-05-18,0.0,1.0
2001-05-21,0.0,1.0
2001-05-22,0.0,1.0
2001-05-23,0.0,1.0
2001-05-24,0.0,1.0
2001-05-25,0.0,1.0
2001-05-29,0.0,1.0
2001-05-30,0.0,1.0
2001-05-31,0.0,1.0
2001-06-01,0.0,1.0
2001-06-04,0.0,1.0
2001-06-05,0.0,1.0
2001-06-06,0.0,1.0
2001-06-07,0.0,1.0
2001-06-08,0.0,1.0
2001-06-11,0.0,1.0
2001-06-12,0.0,1.0
2001-06-13,0.0,1.0
2001-06-14,0.0,1.0
2001-06-15,0.0,1.0
2001-06-18,0.0,1.0
2001-06-19,0.0,1.0
2001-06-20,0.0,1.0
2001-06-21,0.0,1.0
2001-06-22,0.0,1.0
2001-06-25,0.0,1.0
2001-06-26,0.0,1.0
2001-06-27,0.0,1.0
2001-06-28,0.0,1.0
2001-06-29,0.0,1.0
2001-07-02,0.0,1.0
2001-07-03,0.0,1.0
2001-07-05,0.0,1.0
2001-07-06,0.0,1.0
2001-07-09,0.0,1.0
2001-07-10,0.0,1.0
2001-07-11,0.0,1.0
2001-07-12,0.0,1.0
2001-07-13,0.0,1.0
2001-07-16,0.0,1.0
2001-07-17,0.0,1.0
2001-07-18,0.0,1.0
2001-07-19,0.0,1.0
2001-07-20,0.0,1.0
2001-07-23,0.0,1.0
2001-07-24,0.0,1.0
2001-07-25,0.0,1.0
2001-07-26,0.0,1.0
2001-07-27,0.0,1.0
2001-07-30,0.0,1.0
2001-07-31,0.0,1.0
2001-08-01,0.0,1.0
2001-08-02,0.0,1.0
2001-08-03,0.0,1.0
2001-08-06,0.0,1.0
2001-08-07,0.0,1.0
2001-08-08,0.0,1.0
2001-08-09,0.0,1.0
2001-08-10,0.0,1.0
2001-08-13,0.0,1.0
2001-08-14,0.0,1.0
2001-08-15,0.0,1.0
2001-08-16,0.0,1.0
2001-08-17,0.0,1.0
2001-08-20,0.0,1.0
2001-08-21,0.0,1.0
2001-08-22,0.0,1.0
2001-08-23,0.0,1.0
2001-08-24,0.0,1.0
2001-08-27,0.0,1.0
2001-08-28,0.0,1.0
2001-08-29,0.0,1.0
2001-08-30,0.0,1.0
2001-08-31,0.0,1.0
2001-09-04,-0.041142225840921476,0.9588577741590785
2001-09-05,0.0227955895758154,0.9807155024403887
2001-09-06,0.0056043455494397265,0.986211771001757
2001-09-07,-0.010769630902320415,0.9755906342365444
2001-09-10,-0.0012391473537351483,0.9743817336838013
2001-09-14,0.0,0.9743817336838013
2001-09-17,-0.01206140350877194,0.9626293224222643
2001-09-18,-0.008344407209611604,0.9545967513640604
2001-09-19,-0.028261900355766978,0.9276180330970705
2001-09-20,-0.026842726116970195,0.9027182362934832
2001-09-21,0.07352436311959831,0.9690900196934087
2001-09-24,0.005398275238374162,0.9743214343504751
2001-09-25,0.014968146536463722,0.9889052203534505
2001-09-26,0.024115813640321115,1.012753474355435
2001-09-27,-0.005320067868779532,1.0073655571375217
2001-09-28,0.007809639226531051,1.0152327187079992
2001-10-01,0.01729362446249544,1.0327897720873738
2001-10-02,-0.003600541584804884,1.029071169564612
2001-10-03,-0.030683303721737887,0.9974958663175769
2001-10-04,-0.012358854780639361,0.98516795976147
2001-10-05,-0.0006294674235934883,0.9845478286240321
2001-10-08,7.569567109733111e-05,0.9846223546326474
2001-10-09,0.01282001261066451,0.9972452256357801
2001-10-10,-6.388915190147504e-05,0.9971815124840765
2001-10-11,-0.03717126144011518,0.9601150177802814
2001-10-12,0.0071142061797002665,0.9669454739729969
2001-10-15,-0.02675363732154884,0.9410761654526102
2001-10-16,0.008858469481903553,0.949412659944419
2001-10-17,0.013444380672970269,0.9621769251604491
2001-10-18,0.03140474025733497,0.9923938415767142
2001-10-19,-0.029862264774589253,0.9627587139188786
2001-10-22,-0.008136514768388114,0.9549252134246833
2001-10-23,0.0156827139974286,0.9699010324357562
2001-10-24,0.004568609636214194,0.9743321316387165
2001-10-25,0.025146096099173898,0.9988327810534166
2001-10-26,-0.02378847965064501,0.9750720677669302
2001-10-29,0.013119634450166562,0.9878646568586004
2001-10-30,-0.004628091615559715,0.9832927287228853
2001-10-31,0.013101258531254767,0.9961751009737869
2001-11-01,0.031122671737500107,1.0271787316344652
2001-11-02,0.016423616516169137,1.0440487212163945
2001-11-05,0.021808254526457793,1.0668176014667043
2001-11-06,0.011458470914307795,1.079041699923982
2001-11-07,-0.049259892251830806,1.0258882220504943
2001-11-08,-0.06651134159551675,0.9576550200748766
2001-11-09,-0.037642966193827954,0.9216060445288483
2001-11-12,-0.003409512513111168,0.9184638171878683
2001-11-13,-0.02817824833272875,0.8925831156625226
2001-11-14,0.09957610897474484,0.9814630692567512
2001-11-15,-0.03845422580709923,0.9437216667702234
2001-11-16,-0.011259965352789225,0.9330953934997143
2001-11-19,-0.06613526178430262,0.8713848853808838
2001-11-20,0.011290194451614555,0.8812229901790318
2001-11-21,-0.0029654745686020223,0.8786097458123884
2001-11-26,-0.0353159329514422,0.8475808229387944
2001-11-27,-0.06152589715575546,0.7954326523954716
2001-11-28,-0.000885077969877468,0.7947286324783152
2001-11-29,-0.03872406505236248,0.7639535092152498
2001-11-30,0.013732526195745165,0.7744445207928798
2001-12-03,0.00428465697275815,0.7777627499089094
2001-12-04,-0.0020238273611334345,0.7761886923751733
2001-12-05,-7.060995262597736e-06,0.7761832117104935
2001-12-06,-0.006354931655448648,0.7712506204479668
2001-12-07,0.041472406270626205,0.8032362395156574
2001-12-10,0.035780005888711996,0.8319760368955545
2001-12-11,-0.0034078919316257728,0.8291407524721122
2001-12-12,0.014848200753096508,0.8414520008173916
2001-12-13,-0.009070980578899324,0.833819206059901
2001-12-14,-0.023263724127068897,0.8144214660782718
2001-12-17,0.06466634042681069,0.8670871218545916
2001-12-18,0.0259808777776232,0.8896148063900468
2001-12-19,0.029187967934983128,0.9155808548334456
2001-12-20,0.05088012204070569,0.9621657204655051
2001-12-21,-0.06379243445193805,0.9007868268108076
2001-12-26,0.0,0.9007868268108076
2001-12-27,0.0,0.9007868268108076
2001-12-28,-0.012997928657859092,0.8890784638999815
